Date,Open,High,Low,Close,Adj Close,Volume
2022-01-18,8.356000,8.408000,7.712000,7.838000,7.838000,21267374
2022-01-19,8.000000,8.386000,7.920000,8.296000,8.296000,14167015
2022-01-20,8.262000,8.310000,8.000000,8.262000,8.262000,10065953
2022-01-21,8.054000,8.354000,7.976000,8.088000,8.088000,11010532
2022-01-24,7.830000,7.884000,7.068000,7.344000,7.344000,19343789
2022-01-25,7.434000,7.592000,7.290000,7.452000,7.452000,11099889
2022-01-26,7.456000,7.738000,7.444000,7.588000,7.588000,14695089
2022-01-27,7.560000,8.524000,7.560000,8.400000,8.400000,21232012
2022-01-28,8.370000,8.536000,8.266000,8.392000,8.392000,12039333
2022-01-31,8.620000,8.654000,8.524000,8.630000,8.630000,11162315
2022-02-01,8.550000,8.710000,8.502000,8.600000,8.600000,6422897
2022-02-02,8.640000,8.778000,8.530000,8.610000,8.610000,5076764
2022-02-03,8.568000,8.590000,8.408000,8.480000,8.480000,4096394
2022-02-04,8.628000,8.760000,8.406000,8.496000,8.496000,4540938
2022-02-07,8.590000,8.608000,8.364000,8.508000,8.508000,4369456
2022-02-08,8.572000,8.832000,8.544000,8.772000,8.772000,10326639
2022-02-09,8.858000,9.012000,8.826000,8.982000,8.982000,6029739
2022-02-10,8.840000,8.946000,8.782000,8.938000,8.938000,7673084
2022-02-11,8.680000,8.710000,8.180000,8.554000,8.554000,9395767
2022-02-14,8.214000,8.516000,7.906000,8.408000,8.408000,16865446
2022-02-15,8.430000,8.906000,8.430000,8.792000,8.792000,13138808
2022-02-16,8.944000,9.030000,8.826000,8.984000,8.984000,7210250
2022-02-17,8.700000,8.774000,8.456000,8.574000,8.574000,12119015
2022-02-18,8.588000,8.628000,7.972000,8.068000,8.068000,11543401
2022-02-22,6.500000,7.172000,6.328000,6.922000,6.922000,29089578
2022-02-23,7.030000,7.126000,6.384000,6.700000,6.700000,21190440
2022-02-24,4.800000,5.366000,3.873000,4.756000,4.756000,66116602
2022-02-25,5.490000,5.902000,4.500000,5.580000,5.580000,34119939
2022-02-28,3.400000,4.243000,2.100000,2.650000,2.650000,36008410
2022-03-01,2.800000,3.370000,0.500000,0.760000,0.760000,34787698
2022-03-02,0.720000,0.720200,0.019000,0.581400,0.581400,3629195
2022-03-03,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-03-04,0.581000,0.581000,0.581000,0.581000,0.581000,3433982
2022-03-07,0.581000,0.581000,0.581000,0.581000,0.581000,0
2022-03-08,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-03-09,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-03-10,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-03-11,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-03-14,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-03-15,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-03-16,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-03-17,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-03-18,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-03-21,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-03-22,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-03-23,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-03-24,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-03-25,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-03-28,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-03-29,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-03-30,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-03-31,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-04-01,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-04-04,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-04-05,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-04-06,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-04-07,3.500000,3.500000,3.500000,3.500000,3.500000,1000000
2022-04-08,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-04-11,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-04-12,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-04-13,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-04-14,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-04-18,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-04-19,3.306600,3.306600,3.306600,3.306600,3.306600,150000
2022-04-20,3.860000,3.860000,1.200000,3.000000,3.000000,4828928
2022-04-21,0.850000,3.190000,0.850000,1.200000,1.200000,7767965
2022-04-22,4.520000,4.520000,0.700000,0.700000,0.700000,3925947
2022-04-25,1.800000,2.550000,1.800000,2.550000,2.550000,618015
2022-04-26,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-04-27,0.581000,6.410000,0.581000,6.410000,6.410000,3213273
2022-04-28,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-04-29,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-05-02,null,null,null,null,null,null
2022-05-03,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-05-04,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-05-05,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-05-06,0.581400,0.581400,0.581400,0.581400,0.581400,0
